,Material,"Tensile Modulus(Young's Modulus, Modulus of Elasticity) - E -(GPa)",Ultimate Tensile Strength - ﾏブ - (MPa),Yield Strength - ﾏペ - (MPa)
,Material,"Tensile Modulus(Young's Modulus, Modulus of Elasticity) - E -(GPa)",Ultimate Tensile Strength - ﾏブ - (MPa),Yield Strength - ﾏペ - (MPa)
0,ABS plastics,1.4 - 3.1,40,
1,A53 Seamless and Welded Standard Steel Pipe - Grade A,,331,207
2,A53 Seamless and Welded Standard Steel Pipe - Grade B,,414,241
3,A106 Seamless Carbon Steel Pipe - Grade A,,330,205
4,A106 Seamless Carbon Steel Pipe - Grade B,,415,240
5,A106 Seamless Carbon Steel Pipe - Grade C,,485,275
6,A252 Piling Steel Pipe - Grade 1,,345,207
7,A252 Piling Steel Pipe - Grade 2,,414,241
8,A252 Piling Steel Pipe - Grade 3,,455,310
9,A501 Hot Formed Carbon Steel Structural Tubing - Grade A,,400,248
10,A501 Hot Formed Carbon Steel Structural Tubing - Grade B,,483,345
11,A523 Cable Circuit Steel Piping - Grade A,,331,207
12,A523 Cable Circuit Steel Piping - Grade B,,414,241
13,A618 Hot-Formed High-Strength Low-Alloy Structural Tubing - Grade Ia & Ib,,483,345
14,A618 Hot-Formed High-Strength Low-Alloy Structural Tubing - Grade II,,414,345
15,A618 Hot-Formed High-Strength Low-Alloy Structural Tubing - Grade III,,448,345
16,API 5L Line Pipe,,310 - 1145,175 - 1048
17,Acetals,2.8,65,
18,Acrylic,3.2,70,
19,Aluminum Bronze,120,,
20,Aluminum,69,110,95
21,Aluminum Alloys,70,,
22,Antimony,78,,
23,Aramid,70 - 112,,
24,Beryllium (Be),287,,
25,Beryllium Copper,124,,
26,Bismuth,32,,
27,"Bone, compact",18,170 (compression),
28,"Bone, spongy",76,,
29,Boron,,,3100
30,Brass,102 - 125,250,
31,"Brass, Naval",100,,
32,Bronze,96 - 120,,
33,CAB,0.8,,
34,Cadmium,32,,
35,Carbon Fiber Reinforced Plastic,150,,
36,"Carbon nanotube, single-walled",1000,,
37,"Cast Iron 4.5% C, ASTM A-48",,170,
38,"Cellulose, cotton, wood pulp and regenerated",,80 - 240,
39,"Cellulose acetate, molded",,12 - 58,
40,"Cellulose acetate, sheet",,30 - 52,
41,"Cellulose nitrate, celluloid",,50,
42,Chlorinated polyether,1.1,39,
43,Chlorinated PVC (CPVC),2.9,,
44,Chromium,248,,
45,Cobalt,207,,
46,Concrete,17,,
47,"Concrete, High Strength (compression)",30,40 (compression),
48,Copper,117,220,70
49,Diamond (C),1220,,
50,Douglas fir Wood,13,50 (compression),
51,Epoxy resins,3-2,26 - 85,
52,"Fiberboard, Medium Density",4,,
53,Flax fiber,58,,
54,Glass,50 - 90,50 (compression),
55,Glass reinforced polyester matrix,17,,
56,Gold,74,,
57,Granite,52,,
58,Graphene,1000,,
59,Grey Cast Iron,130,,
60,Hemp fiber,35,,
61,Inconel,214,,
62,Iridium,517,,
63,Iron,210,,
64,Lead,13.8,,
65,Magnesium metal (Mg),45,,
66,Manganese,159,,
67,Marble,,15,
68,MDF - Medium-density fiberboard,4,,
69,Mercury,,,
70,Molybdenum (Mo),329,,
71,Monel Metal,179,,
72,Nickel,170,,
73,Nickel Silver,128,,
74,Nickel Steel,200,,
75,Niobium (Columbium),103,,
76,Nylon-6,2 - 4,45 - 90,45
77,Nylon-66,,60 - 80,
78,Oak Wood (along grain),11,,
79,Osmium (Os),550,,
80,Phenolic cast resins,,33 - 59,
81,Phenol-formaldehyde molding compounds,,45 - 52,
82,Phosphor Bronze,116,,
83,Pine Wood (along grain),9,40,
84,Platinum,147,,
85,Plutonium,97,,
86,"Polyacrylonitrile, fibers",,200,
87,Polybenzoxazole,3.5,,
88,Polycarbonates,2.6,52 - 62,
89,Polyethylene HDPE (high density),0.8,15,
90,"Polyethylene Terephthalate, PET",2 - 2.7,55,
91,Polyamide,2.5,85,
92,"Polyisoprene, hard rubber",,39,
93,Polymethylmethacrylate (PMMA),2.4 - 3.4,,
94,Polyimide aromatics,3.1,68,
95,"Polypropylene, PP",1.5 - 2,28 - 36,
96,"Polystyrene, PS",3 - 3.5,30 - 100,
97,"Polyethylene, LDPE (low density)",0.11 - 0.45,,
98,Polytetrafluoroethylene (PTFE),0.4,,
99,Polyurethane cast liquid,,10 - 20,
100,Polyurethane elastomer,,29 - 55,
101,Polyvinylchloride (PVC),2.4 - 4.1,,
102,Potassium,,,
103,Rhodium,290,,
104,"Rubber, small strain",0.01 - 0.1,,
105,Sapphire,435,,
106,Selenium,58,,
107,Silicon,130 - 185,,
108,Silicon Carbide,450,,3440
109,Silver,72,,
110,Sodium,,,
111,"Steel, High Strength Alloy ASTM A-514",,760,690
112,"Steel, stainless AISI 302",180,860,502
113,"Steel, Structural ASTM-A36",200,400,250
114,Tantalum,186,,
115,Thorium,59,,
116,Tin,47,,
117,Titanium,,,
118,Titanium Alloy,105 - 120,900,730
119,Tooth enamel,83,,
120,Tungsten (W),400 - 410,,
121,Tungsten Carbide (WC),450 - 650,,
122,Uranium,170,,
123,Vanadium,131,,
124,Wrought Iron,190 - 210,,
125,Wood,,,
126,Zinc,83,,
